2026-04-14 18:31:44,433 | WARNING | setup_database | RPC 'exec_sql' indisponível: {'message': 'Could not find the function public.exec_sql(sql) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.exec_sql with parameter sql or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2026-04-14 18:31:44,673 | WARNING | setup_database | RPC 'sql' indisponível: {'message': 'Could not find the function public.sql(sql) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.sql with parameter sql or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2026-04-14 18:31:44,688 | WARNING | loader | Não foi possível limpar tabela edital_extra_campo: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:44,883 | WARNING | setup_database | RPC 'run_sql' indisponível: {'message': 'Could not find the function public.run_sql(sql) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.run_sql with parameter sql or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2026-04-14 18:31:46,262 | INFO | loader | Conteúdo removido da tabela edital
2026-04-14 18:31:47,108 | WARNING | loader | Falha ao inserir anexo do edital 688: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:47,314 | WARNING | loader | Falha ao inserir anexo do edital 688: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:47,548 | WARNING | loader | Falha ao inserir extra 'url_pagina' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:47,781 | WARNING | loader | Falha ao inserir extra 'url_chamada' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:47,997 | WARNING | loader | Falha ao inserir extra 'publicado_em' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:48,203 | WARNING | loader | Falha ao inserir extra 'atualizado_em' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:48,423 | WARNING | loader | Falha ao inserir extra 'inscricoes_inicio' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:48,654 | WARNING | loader | Falha ao inserir extra 'inscricoes_fim' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:48,867 | WARNING | loader | Falha ao inserir extra 'situacao' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:49,096 | WARNING | loader | Falha ao inserir extra 'qtd_anexos' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:49,327 | WARNING | loader | Falha ao inserir extra 'programa_identificado' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:49,616 | WARNING | loader | Falha ao inserir extra 'tipo_recurso' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:50,346 | WARNING | loader | Falha ao inserir anexo do edital 688: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:50,581 | WARNING | loader | Falha ao inserir anexo do edital 688: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:50,784 | WARNING | loader | Falha ao inserir anexo do edital 688: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:50,985 | WARNING | loader | Falha ao inserir extra 'url_pagina' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:51,191 | WARNING | loader | Falha ao inserir extra 'url_chamada' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:51,438 | WARNING | loader | Falha ao inserir extra 'publicado_em' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:51,642 | WARNING | loader | Falha ao inserir extra 'atualizado_em' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:51,857 | WARNING | loader | Falha ao inserir extra 'inscricoes_inicio' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
