titulo,descricao,link,fonte,data_publicacao,fim_inscricao,situacao,valor,programa,acao,tipo_recurso,extras
Funding Opportunities,"Funding Opportunities Funding Opportunities | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Transportation Technologies Office Funding Opportunities Funding Opportunities The Office of Energy Efficiency and Renewable Energy (EERE) supports high impact projects that can significantly and swiftly advance market acceptance of next generation energy efficiency and renewable energy technologies. New funding opportunities are announced regularly. Open Funding Opportunities Funding Opportunity Number Funding Opportunity Title Announcement Type Program Concept paper Deadline Full Application Deadline DE-FOA-0003514 Notice of Funding Opportunity ""Fiscal Year 2025 Vehicle Technologies Office (VTO) Program Wide Funding Opportunity Announcement"" NOFO Vehicle Technologies Office (VTO) 4/1/2025 6/18/2025 DE-FOA-0003383 Funding Opportunity Announcement ""Fiscal Year 2024 Vehicle Technologies Office Batteries Funding Opportunity Announcement"" (DE-FOA-0003383) FOA Vehicle Technologies Office (VTO) 9/9/2024 10/30/2024 DOE-FOA-0003433 Notice of Intent to Issue Funding Opportunity Announcement DE-FOA-3434 ""Infrastructure Investment and Jobs Act Electric Drive Vehicle Battery Improving Economics, Recovery and Reuse, and State of Health"" NOI Vehicle Technologies Office (VTO) N/A N/A Note: Official notices of solicitations can be found at the EERE Program Information Cent",https://www.energy.gov/eere/funding-opportunities,DOE_ARPAE,2025-01-04,,Em andamento,,DOE / ARPA-E,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Advancing Innovation: Technology Transitions and Early Investments,"Advancing Innovation: Technology Transitions and Early Investments Advancing Innovation: Technology Transitions and Early Investments | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Home Our Mission Economic Growth Technology Transitions & Early Investments Advancing Innovation: Technology Transitions and Early Investments The Department of Energy supports research at every stage of science. Starting with foundational, discovery research, we work to understand the fundamental questions of chemistry, physics, and biology that we need to solve complicated problems. Applied science takes that knowledge to the next step, identifying the use cases and building the commercial viability to solve specific challenges and better our lives. By working collaboratively across the department, we ensure that breakthroughs in research are supported from lab bench to factory floor, from pre-seed support for aspiring entrepreneurs and IP licensing, to in-kind vouchers for growing (but cost-constrained) emerging startups, to non-dilutive capital and cost-share CRADAs with the U.S.’s network of National Labs to prepare technologies for Seed and Series A rounds. This collective approach ensures public capital for commercialization unlocks private capital, helping bring clean energy solutions to the public, and addressing our most pressing economic, environmental, and n",https://www.energy.gov/topics/advancing-innovation-technology-transitions-and-early-investments,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Reembolsável (Financiamento),"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Funding Opportunities,"Funding Opportunities Funding Opportunities | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Home Funding Opportunities Funding Opportunities Introduction The U.S. Department of Energy supports a number of grant, loan and financing programs. Learn more about these programs and how they can help you -- whether you are a startup energy business looking to launch a pilot project, a company with proven technology that needs help reaching commercial scale, or a state, local or tribal government looking for funding resources for energy projects. Latest Announcements Tribal Energy Access Funding Opportunities Energy Department Announces $50 Million Investment to Advance Affordable, Reliable, and Secure Energy for Tribes March 25, 2026 Science & Innovation Funding Opportunities Funding Opportunities Energy Department Announces $293 Million in Funding to Support Genesis Mission National Science and Technology Challenges March 17, 2026 Critical Materials and Minerals Funding Opportunities Energy Department Announces $500 Million to Strengthen Domestic Critical Materials Processing and Manufacturing March 13, 2026 Funding Opportunities Energy Department Announces $1.9B Investment in Critical Grid Infrastructure to Reduce Electricity Costs March 12, 2026 View More Standard Terms and Conditions These Standard Terms and Conditions comply with 2 CFR 200.211(c) and",https://www.energy.gov/funding-opportunities,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Advanced Research Projects Agency-Energy,Advanced Research Projects Agency-Energy Program Overview | ARPA-E Skip to main content,https://arpa-e.energy.gov/programs-and-initiatives/program-overview,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Não Especificado,"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
CMEI Funding Opportunities,"CMEI Funding Opportunities CMEI Funding Opportunities | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Home CMEI Funding Opportunities Follow our Funding Listserv Sign up to receive the latest information about CMEI’s energy innovation funding, prize, and competition opportunities. Email Note the U.S. Department of Energy (DOE) is evaluating all funding opportunities to ensure appropriate resources are allocated efficiently, and that the Department's initiatives are in line with the statutory mission of DOE and the policies and priorities of the Administration and DOE. DOE is undertaking this evaluation in accordance with all laws, regulations, and fiscal responsibility, as efficiently as possible. The Office of Critical Minerals and Energy Innovation (CMEI) invests in research and development to lower the cost of energy technologies, protect the private sector from financial risk, and help America build and sustain an integrated energy system that is reliable, resilient, and secure​. ​ Funding is awarded through an open, competitive process hosted primarily on the Funding Opportunity eXCHANGE. Project selections are merit-based with an emphasis on potential energy, environmental, and economic benefits. As required by court order, the Department of Energy is providing this Notice and Order to all employees, contractors, and grantees. Funding, Prize,",https://www.energy.gov/eere/funding/eere-funding-opportunities,DOE_ARPAE,2025-08-01,,Em andamento,,DOE / ARPA-E,,Subvenção (Não Reembolsável),"{'anexos': [{'nome': 'Notice and Order', 'url': 'https://www.energy.gov/sites/default/files/2025-02/RI%20TRO%20Notice.pdf'}], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Federal Energy Management Program Funding Opportunities,"Federal Energy Management Program Funding Opportunities Federal Energy Management Program Funding Opportunities | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Home Funding Opportunities Funding Opportunities By Office Federal Energy Management Program Federal Energy Management Program Funding Opportunities The U.S. Department of Energy's Federal Energy Management Program (FEMP) provides direct funding to Federal agencies through the Assisting Federal Facilities with Energy Conservation Technologies (AFFECT) program. AFFECT offers grants for developing energy and water efficiency projects and processes at U.S. Federal government-owned facilities. The AFFECT program supports energy and water efficiency upgrades in Federal buildings through affordable solutions, public-private partnerships, and best practices. AFFECT Portfolio AFFECT IIJA 98 Federal agency projects selected to receive a combined total of $250 million. AFFECT 2019 11 Federal agency projects selected to receive a combined total of $5 million. AFFECT 2022 19 Federal agency projects selected to receive a combined total of $28.1 million. AFFECT 2016 Three Federal agency projects selected to receive a combined total of $3 million. AFFECT 2021 17 Federal agency projects selected to receive a combined total of $13 million. AFFECT 2015 Four Federal agency projects selected to receive a combin",https://www.energy.gov/cmei/femp/federal-energy-management-program-funding-opportunities,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Funding Opportunities and Requests for Information,"Funding Opportunities and Requests for Information Funding Opportunities and Requests for Information | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Home Funding Opportunities Funding Opportunities By Office Grid Deployment Office Funding Opportunities and Requests for Information Below is a list of funding opportunities, notices of intent (NOIs), and requests for information (RFIs) available through the Grid Deployment Office. New opportunities will be added here as they become available. Announcements Provision Type of Announcement Announcement Date Response Due Collaborations Advancing Rapid Load Additions (CARLA) Partnership Intermediary Agreement 1/15/25 CLOSED Joint Assessment of Resilience in Vulnerable Infrastructure Systems (JARVIS) Program Partnership Intermediary Agreement 1/8/25 CLOSED Grid Resilience State and Tribal Formula Grants Notice of Intent 12/17/24 N/A Artificial Intelligence for Interconnection (AI4IX) Program Partnership Intermediary Agreement 11/25/24 CLOSED Wholesale Electricity Market Studies and Engagement Program Selections 11/20/24 N/A Transmission Acceleration Grants Partnership Intermediary Agreement 10/31/24 CLOSED Grid Resilience State and Tribal Formula Grants Selections 10/25/24 N/A Grid Resilience Utility and Industry Grants Selections 10/18/24 N/A Smart Grid Grants Selections 10/18/24 N/A Section 242: Hydroele",https://www.energy.gov/oe/funding-opportunities-and-requests-information,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Subvenção (Não Reembolsável),"{'anexos': [{'nome': 'Application Guidance', 'url': 'https://cms.doe.gov/sites/default/files/2024-03/Hydroelectric%20Section%20242%20Guidance%20Document%20CY2023.pdf'}, {'nome': 'Request for Proposals', 'url': 'https://cms.doe.gov/sites/default/files/2024-02/TFPConnectingMicrogridsPublicPrivatePartnerships-RFP.pdf'}, {'nome': 'Request for Proposals', 'url': 'https://cms.doe.gov/sites/default/files/2024-02/2024-01-25%20TFP%20R2%20Request%20for%20Proposals%20Combined%20Draft_FINAL.pdf'}, {'nome': 'Selections', 'url': 'https://energy.gov/sites/default/files/2022-09/EPAct-2005-Section-242-CY20-Selections.pdf'}, {'nome': 'Notice of Intent', 'url': 'https://www.energy.gov/sites/default/files/2022-01/Transmission%20NOI%20final%20for%20web_1.pdf'}], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Current Funding and Technical Assistance Opportunities,"Current Funding and Technical Assistance Opportunities Current Funding and Technical Assistance Opportunities | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Home Funding Opportunities Funding Opportunities By Office Office of Indian Energy Current Funding and Technical Assistance Opportunities Find energy funding opportunities for American Indian Tribes and Alaska Native communities. This page is updated frequently. Subscribe to the Office of Indian Energy email list for the latest updates about funding, news, and events. ON THIS PAGE: Office of Indian Energy Funding and Technical Assistance Opportunities Additional Indian Energy Funding Information Other Funding and Opportunities . Office of Indian Energy Funding and Technical Assistance Opportunities The Office of Indian Energy provides financial assistance on a competitive basis to develop and deploy energy infrastructure and technology, as well as a no-cost technical assistance program. This page will be updated when new opportunities are available. TITLE & DESCRIPTION TYPE DEADLINE Unleashing Tribal Energy Development (DE-FOA-0003548): $50 Million A $50 million funding opportunity is now open and aims to foster affordable, reliable, and secure energy solutions in Indian Country by supporting Tribal-led community-scale energy project planning and development and large-scale energy project plan",https://www.energy.gov/indianenergy/current-funding-and-technical-assistance-opportunities,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Reembolsável (Financiamento),"{'anexos': [{'nome': 'Download', 'url': 'https://www.energy.gov/sites/default/files/2026-03/doe-ie-unleashing-tribal-energy-development-nofo-fact-sheet.pdf'}], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Funding,"Funding Funding | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Home Funding Opportunities Funding Opportunities By Office Office of Manufacturing and Energy Supply Chains Funding Funding a resilient and secure energy future, one opportunity at a time Funding Opportunities Filters Status Content Type Funding Source Area of Focus Banner Color Light Text on a Dark Overlay (Default) Apply For grants, cooperative agreements, tax credits, and rebates. Stay Informed See due dates for applications and concept papers, as well as the status of programs. Learn More See selections, find press releases, and access provision pages. LOOKING FOR MORE? Visit the Infrastructure Exchange to see all clean energy infrastructure funding opportunity announcements. Committed to Restoring America’s Energy Dominance. Follow Us Link to Facebook Link to Instagram Link to Linkedin Link to Youtube Link to X Link to Flickr Quick Links Leadership & Offices Newsroom Contact Us Careers Resources Budget & Performance Directives, Delegations, & Requirements Freedom of Information Act (FOIA) Inspector General Privacy Program Federal Government USA.gov The White House Open Gov Accessibility Privacy Information Quality No Fear Act Web Policies Vulnerability Disclosure Program Whistleblower Protection Equal Employment Opportunity Notice of Court Orders",https://www.energy.gov/mesc/funding,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Office of Science Funding Opportunities,"Office of Science Funding Opportunities Office of Science Funding Opportunities | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Home Funding Opportunities Funding Opportunities By Office Office of Science Office of Science Funding Opportunities The DOE Office of Science issues many announcements each year to solicit research proposals from colleges and universities, non-profit and for-profit research organizations, DOE’s national laboratories, small businesses, and other federal research organizations. The Office of Science issues two types of funding announcements: Funding Opportunity Announcements (FOAs), which may be open to one or more institution types (please read the eligibility requirements in a given FOA for details); and DOE National Laboratory Announcements, which are open only to DOE laboratories. FOAs and DOE National Laboratory Announcements may be issued either as companion announcements—where one of each announcement type is issued in the same topical area—or as stand-alone opportunities. All proposals submitted in response to FOAs and DOE National Laboratory Announcements undergo merit review by subject matter, and awards are selected based on the outcome of merit review and other criteria described in the announcement, including availability of funding. The Office of Science also issues a cross-cutting, open solicitation annually ",https://www.energy.gov/science/office-science-funding-opportunities,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Reembolsável (Financiamento),"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
