titulo,link,descricao,fonte,data_publicacao,fim_inscricao,situacao,extras,valor,programa,acao,tipo_recurso
EDITAL DE CHAMADA PÚBLICA FAPESC N.º 24/2026 PROGRAMA NASCER DE PRÉ-INCUBAÇÃO DE IDEIAS INOVADORAS PARA O ECOSSISTEMA CATARINENSE DE INOVAÇÃO — VII EDIÇÃO,https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-n-o-24-2026-programa-nascer-de-pre-incubacao-de-ideias-inovadoras-para-o-ecossistema-catarinense-de-inovacao-vii-edicao/,"A FUNDAÇÃO DE AMPARO À PESQUISA E INOVAÇÃO DO ESTADO DE SANTA CATARINA (FAPESC), em colaboração com a SECRETARIA DE ESTADO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO (SCTI) e o SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS DE SANTA CATARINA (SEBRAE/SC), definida no âmbito do Convênio n.º 2026TR000471, torna público o lançamento do presente Edital de Chamada Pública e convida proponentes a apresentarem propostas para participação no Programa Nascer de Pré-Incubação de Ideias Inovadoras — VII Edição, com o objetivo de fomentar a transformação de ideias em produtos (bens e/ou serviços) ou processos inovadores, bem como incentivar o fortalecimento do ecossistema de Ciência, Tecnologia e Inovação (CTI) catarinense. Prazo para submissão: 05/05/2026 a 15/06/2026 Contato para dúvidas: programa@nascer.sc.gov.br",FAPESC,2026-05-04,2026-06-15,Aberto,"{'anexos': [{'nome': 'Plano de Integridade e Compliance', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2023/06/Plano-de-Integridade-e-Compliance-da-Fapesc.pdf'}, {'nome': 'Código de Conduta', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2024/11/codigo_conduta_2024.pdf'}, {'nome': 'ACESSE O EDITAL COMPLETO', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/05/Edital-de-Chamada-Publica-N.o24_2026_Programa-Nascer.pdf'}], 'fonte_original': 'https://fapesc.sc.gov.br/category/chamadas-abertas/', 'data_extracao': '2026-05-09', 'pais': 'Brasil', 'regiao': 'brasil', 'orgao_responsavel': 'FAPESC', 'instituicao': 'Fundação de Amparo à Pesquisa e Inovação do Estado de SC', 'orgao_contratante': 'FAPESC', 'setor_estrategico': 'ciencia_tecnologia_inovacao', 'tipo_oportunidade': 'chamada_publica', 'tipo_recurso': 'fomento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False, 'area_cientifica': ['ciencia', 'tecnologia', 'inovacao'], 'area_tecnologica': ['transformacao_digital', 'pesquisa_aplicada'], 'url_listagem': 'https://fapesc.sc.gov.br/', 'url_detalhe': 'https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-n-o-24-2026-programa-nascer-de-pre-incubacao-de-ideias-inovadoras-para-o-ecossistema-catarinense-de-inovacao-vii-edicao/', 'metodo_extracao': 'html_listing_detail', 'nivel_sensibilidade': 'publico_institucional'}",,fapesc,chamada_publica,fomento
EDITAL DE CHAMADA PÚBLICA FAPESC/CIASC N.º 22/2026 PROGRAMA DE INOVAÇÃO DO CIASC,https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-ciasc-n-o-022-2026-programa-de-inovacao-do-ciasc/,"A FUNDAÇÃO DE AMPARO À PESQUISA E INOVAÇÃO DO ESTADO DE SANTA CATARINA (FAPESC), em colaboração com o CENTRO DE INFORMÁTICA E AUTOMAÇÃO DO ESTADO DE SANTA CATARINA (CIASC), no âmbito do Termo de Mútua Colaboração em Ciência, Tecnologia e Inovação n.º 011/2023, torna público o lançamento do presente Edital de Chamada Pública para fomentar, a partir de pesquisa científica e tecnológica, uma cultura institucional de inovação aderente às capacidades emergentes em Inteligência Artificial, Arquitetura de Dados e Cibersegurança, por meio da seleção de bolsistas qualificados. Prazo para submissão: 05/05/2026 a 03/06/2026 Contato para dúvidas: inova.gov@fapesc.sc.gov.br",FAPESC,2026-05-04,2026-06-03,Aberto,"{'anexos': [{'nome': 'Plano de Integridade e Compliance', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2023/06/Plano-de-Integridade-e-Compliance-da-Fapesc.pdf'}, {'nome': 'Código de Conduta', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2024/11/codigo_conduta_2024.pdf'}, {'nome': 'ACESSE O EDITAL COMPLETO', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/05/Edital-22.2026-CIASC.pdf'}], 'fonte_original': 'https://fapesc.sc.gov.br/category/chamadas-abertas/', 'data_extracao': '2026-05-09', 'pais': 'Brasil', 'regiao': 'brasil', 'orgao_responsavel': 'FAPESC', 'instituicao': 'Fundação de Amparo à Pesquisa e Inovação do Estado de SC', 'orgao_contratante': 'FAPESC', 'setor_estrategico': 'ciencia_tecnologia_inovacao', 'tipo_oportunidade': 'chamada_publica', 'tipo_recurso': 'fomento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False, 'area_cientifica': ['ciencia', 'tecnologia', 'inovacao'], 'area_tecnologica': ['transformacao_digital', 'pesquisa_aplicada'], 'url_listagem': 'https://fapesc.sc.gov.br/', 'url_detalhe': 'https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-ciasc-n-o-022-2026-programa-de-inovacao-do-ciasc/', 'metodo_extracao': 'html_listing_detail', 'nivel_sensibilidade': 'publico_institucional'}",,fapesc,chamada_publica,fomento
EDITAL DE CHAMADA PÚBLICA FAPESC/JUCESC N.º 23/2026 PROGRAMA ESTADUAL DE MODERNIZAÇÃO DO AMBIENTE DE NEGÓCIOS CATARINENSE,https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-jucesc-n-o-23-2026-programa-estadual-de-modernizacao-do-ambiente-de-negocios-catarinense/,"A FUNDAÇÃO DE AMPARO À PESQUISA E INOVAÇÃO DO ESTADO DE SANTA CATARINA (FAPESC), em colaboração com a JUNTA COMERCIAL DO ESTADO DE SANTA CATARINA (JUCESC), no âmbito do Termo de Mútua Colaboração em Ciência, Tecnologia e Inovação n.º 006/2025, torna público o lançamento do presente Edital de Chamada Pública para fomentar, a partir de pesquisa científica e tecnológica, o fortalecimento institucional e a modernização do ambiente de negócios do Estado de Santa Catarina, por meio da seleção de bolsistas qualificados(as). Prazo para submissão: 30/04/2026 a 29/05/2026 Contato para dúvidas: inova.gov@fapesc.sc.gov.br",FAPESC,2026-04-29,2026-05-29,Aberto,"{'anexos': [{'nome': 'Plano de Integridade e Compliance', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2023/06/Plano-de-Integridade-e-Compliance-da-Fapesc.pdf'}, {'nome': 'Código de Conduta', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2024/11/codigo_conduta_2024.pdf'}, {'nome': 'ACESSE O EDITAL COMPLETO', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/04/Edital-23.2026-JUCESC.pdf'}], 'fonte_original': 'https://fapesc.sc.gov.br/category/chamadas-abertas/', 'data_extracao': '2026-05-09', 'pais': 'Brasil', 'regiao': 'brasil', 'orgao_responsavel': 'FAPESC', 'instituicao': 'Fundação de Amparo à Pesquisa e Inovação do Estado de SC', 'orgao_contratante': 'FAPESC', 'setor_estrategico': 'ciencia_tecnologia_inovacao', 'tipo_oportunidade': 'chamada_publica', 'tipo_recurso': 'fomento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False, 'area_cientifica': ['ciencia', 'tecnologia', 'inovacao'], 'area_tecnologica': ['transformacao_digital', 'pesquisa_aplicada'], 'url_listagem': 'https://fapesc.sc.gov.br/', 'url_detalhe': 'https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-jucesc-n-o-23-2026-programa-estadual-de-modernizacao-do-ambiente-de-negocios-catarinense/', 'metodo_extracao': 'html_listing_detail', 'nivel_sensibilidade': 'publico_institucional'}",,fapesc,chamada_publica,fomento
EDITAL SUPLEMENTAR FAPESC N.º 21/2026 À CHAMADA TRANSNACIONAL CONJUNTA WATER4ALL “WATER FOR CIRCULAR ECONOMY 2024” APOIO A PROJETOS COLABORATIVOS DE PESQUISA,https://fapesc.sc.gov.br/edital-suplementar-fapesc-n-o-21-2026-a-chamada-transnacional-conjunta-water4all-water-for-circular-economy-2024-apoio-a-projetos-colaborativos-de-pesquisa/,"A FUNDAÇÃO DE AMPARO À PESQUISA E INOVAÇÃO DO ESTADO DE SANTA CATARINA (FAPESC) em colaboração com o CONSELHO NACIONAL DAS FUNDAÇÕES ESTADUAIS DE AMPARO À PESQUISA (CONFAP), no âmbito da Chamada Transnacional ConjuntaWater4all 2024, destinada ao desenvolvimento de projetos conjuntos entre pesquisadores brasileiros e europeus, torna público o presente Edital Suplementar de cofinanciamento e convida pesquisadores vinculados a Instituições Científicas, Tecnológicas e de Inovação (ICT) com sede e foro em Santa Catarina, cujas propostas tenham sido aprovadas na referida Chamada, a submeterem seus projetos para fins de suplementação. Prazo para submissão: 24/04/2026 a 25/05/2026 Contato para dúvidas: internacional@fapesc.sc.gov.br",FAPESC,2026-04-24,2026-05-25,Aberto,"{'anexos': [{'nome': 'Plano de Integridade e Compliance', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2023/06/Plano-de-Integridade-e-Compliance-da-Fapesc.pdf'}, {'nome': 'Código de Conduta', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2024/11/codigo_conduta_2024.pdf'}, {'nome': 'ACESSE O EDITAL COMPLETO', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/04/Edital-FAPESC-Water4all-assinado.pdf'}], 'fonte_original': 'https://fapesc.sc.gov.br/category/chamadas-abertas/', 'data_extracao': '2026-05-09', 'pais': 'Brasil', 'regiao': 'brasil', 'orgao_responsavel': 'FAPESC', 'instituicao': 'Fundação de Amparo à Pesquisa e Inovação do Estado de SC', 'orgao_contratante': 'FAPESC', 'setor_estrategico': 'ciencia_tecnologia_inovacao', 'tipo_oportunidade': 'chamada_publica', 'tipo_recurso': 'fomento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False, 'area_cientifica': ['ciencia', 'tecnologia', 'inovacao'], 'area_tecnologica': ['transformacao_digital', 'pesquisa_aplicada'], 'url_listagem': 'https://fapesc.sc.gov.br/', 'url_detalhe': 'https://fapesc.sc.gov.br/edital-suplementar-fapesc-n-o-21-2026-a-chamada-transnacional-conjunta-water4all-water-for-circular-economy-2024-apoio-a-projetos-colaborativos-de-pesquisa/', 'metodo_extracao': 'html_listing_detail', 'nivel_sensibilidade': 'publico_institucional'}",,fapesc,chamada_publica,fomento
EDITAL SUPLEMENTAR FAPESC N.º 20/2026 À CHAMADA TRANSNACIONAL CONJUNTA BIODIVTRANSFORM (2024-2025) “BIODIVERSIDADE E MUDANÇA TRANSFORMATIVA” APOIO A PROJETOS COLABORATIVOS DE PESQUISA,https://fapesc.sc.gov.br/edital-suplementar-fapesc-n-o-20-2026-a-chamada-transnacional-conjunta-biodivtransform-2024-2025-biodiversidade-e-mudanca-transformativa-apoio-a-projetos-colaborativos-de-pesquisa/,"A FUNDAÇÃO DE AMPARO À PESQUISA E INOVAÇÃO DO ESTADO DE SANTA CATARINA (FAPESC) em colaboração com o CONSELHO NACIONAL DAS FUNDAÇÕES ESTADUAIS DE AMPARO À PESQUISA (CONFAP), no âmbito da Chamada Transnacional Conjunta Biodivtransform (2024-2025), destinada ao desenvolvimento de projetos conjuntos entre pesquisadores brasileiros e europeus, torna público o presente Edital Suplementar de cofinanciamento e convida pesquisadores vinculados a Instituições Científicas, Tecnológicas e de Inovação (ICT) com sede e foro em no Estado de Santa Catarina, cujas propostas tenham sido aprovadas na referida Chamada, a submeterem seus projetos para fins de suplementação. Prazo para submissão: 17/04/2026 a 17/05/2026 Contato para dúvidas: internacional@fapesc.sc.gov.br",FAPESC,2026-04-17,2026-05-17,Aberto,"{'anexos': [{'nome': 'Plano de Integridade e Compliance', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2023/06/Plano-de-Integridade-e-Compliance-da-Fapesc.pdf'}, {'nome': 'Código de Conduta', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2024/11/codigo_conduta_2024.pdf'}, {'nome': 'ACESSE O EDITAL COMPLETO', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/04/Edital-Biodiversa-20-2026-assinado.pdf'}], 'fonte_original': 'https://fapesc.sc.gov.br/category/chamadas-abertas/', 'data_extracao': '2026-05-09', 'pais': 'Brasil', 'regiao': 'brasil', 'orgao_responsavel': 'FAPESC', 'instituicao': 'Fundação de Amparo à Pesquisa e Inovação do Estado de SC', 'orgao_contratante': 'FAPESC', 'setor_estrategico': 'ciencia_tecnologia_inovacao', 'tipo_oportunidade': 'chamada_publica', 'tipo_recurso': 'fomento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False, 'area_cientifica': ['ciencia', 'tecnologia', 'inovacao'], 'area_tecnologica': ['transformacao_digital', 'pesquisa_aplicada'], 'url_listagem': 'https://fapesc.sc.gov.br/', 'url_detalhe': 'https://fapesc.sc.gov.br/edital-suplementar-fapesc-n-o-20-2026-a-chamada-transnacional-conjunta-biodivtransform-2024-2025-biodiversidade-e-mudanca-transformativa-apoio-a-projetos-colaborativos-de-pesquisa/', 'metodo_extracao': 'html_listing_detail', 'nivel_sensibilidade': 'publico_institucional'}",,fapesc,chamada_publica,fomento
EDITAL DE CHAMADA PÚBLICA FAPESC/SEA N.º 19/2026 PROGRAMA DE APOIO AO DESENVOLVIMENTO DA GESTÃO DA SEA,https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-sea-n-o-19-2026-programa-de-apoio-ao-desenvolvimento-da-gestao-da-sea/,"A FUNDAÇÃO DE AMPARO À PESQUISA E INOVAÇÃO DO ESTADO DE SANTA CATARINA (FAPESC), em colaboração com a Secretaria de Estado da Administração (SEA), no âmbito do Termo de Mútua Colaboração em Ciência, Tecnologia e Inovação n.º 18/2023, torna público o lançamento do presente Edital de Chamada Pública para a seleção de bolsistas qualificados que, por meio da pesquisa aplicada, atuarão no fortalecimento do papel estratégico da SEA na gestão pública, com foco em ações inovadoras e tecnológicas alinhadas às suas estratégias institucionais. Prazo para submissão: 10/04/2026 a 11/05/2026 Contato para dúvidas: inova.gov@fapesc.sc.gov.br",FAPESC,2026-04-09,2026-05-11,Aberto,"{'anexos': [{'nome': 'Plano de Integridade e Compliance', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2023/06/Plano-de-Integridade-e-Compliance-da-Fapesc.pdf'}, {'nome': 'Código de Conduta', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2024/11/codigo_conduta_2024.pdf'}, {'nome': 'ACESSE O EDITAL COMPLETO', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/04/Processo-FAPESC-00003813_2025.pdf'}, {'nome': 'RETIFICAÇÃO I', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/04/I_retificacao-1.pdf'}], 'fonte_original': 'https://fapesc.sc.gov.br/category/chamadas-abertas/', 'data_extracao': '2026-05-09', 'pais': 'Brasil', 'regiao': 'brasil', 'orgao_responsavel': 'FAPESC', 'instituicao': 'Fundação de Amparo à Pesquisa e Inovação do Estado de SC', 'orgao_contratante': 'FAPESC', 'setor_estrategico': 'ciencia_tecnologia_inovacao', 'tipo_oportunidade': 'chamada_publica', 'tipo_recurso': 'fomento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False, 'area_cientifica': ['ciencia', 'tecnologia', 'inovacao'], 'area_tecnologica': ['transformacao_digital', 'pesquisa_aplicada'], 'url_listagem': 'https://fapesc.sc.gov.br/', 'url_detalhe': 'https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-sea-n-o-19-2026-programa-de-apoio-ao-desenvolvimento-da-gestao-da-sea/', 'metodo_extracao': 'html_listing_detail', 'nivel_sensibilidade': 'publico_institucional'}",,fapesc,chamada_publica,fomento
EDITAL DE CHAMADA PÚBLICA FAPESC N.º 18/2026 PROEVENTOS 2027 — FASE I,https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-n-o-18-2026-proeventos-2027-fase-i/,"A FUNDAÇÃO DE AMPARO À PESQUISA E INOVAÇÃO DO ESTADO DE SANTA CATARINA (FAPESC) torna público o lançamento do presente Edital de Chamada Pública e convida Instituições de Ciência, Tecnologia e Inovação (ICTs) catarinenses, por meio de seus pesquisadores, a submeterem propostas para apoiar a realização de eventos científicos, tecnológicos e/ou de inovação em Santa Catarina, contribuindo para a difusão e o desenvolvimento do ecossistema da Ciência, Tecnologia e Inovação de Santa Catarina. Prazo para submissão: 10/04/2026 a 20/05/2026 Contato para dúvidas: eventos@fapesc.sc.gov.br",FAPESC,2026-04-09,2026-05-20,Aberto,"{'anexos': [{'nome': 'Plano de Integridade e Compliance', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2023/06/Plano-de-Integridade-e-Compliance-da-Fapesc.pdf'}, {'nome': 'Código de Conduta', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2024/11/codigo_conduta_2024.pdf'}, {'nome': 'ACESSE O EDITAL COMPLETO', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/04/Processo-FAPESC-00000697_2026.pdf'}], 'fonte_original': 'https://fapesc.sc.gov.br/category/chamadas-abertas/', 'data_extracao': '2026-05-09', 'pais': 'Brasil', 'regiao': 'brasil', 'orgao_responsavel': 'FAPESC', 'instituicao': 'Fundação de Amparo à Pesquisa e Inovação do Estado de SC', 'orgao_contratante': 'FAPESC', 'setor_estrategico': 'ciencia_tecnologia_inovacao', 'tipo_oportunidade': 'chamada_publica', 'tipo_recurso': 'fomento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False, 'area_cientifica': ['ciencia', 'tecnologia', 'inovacao'], 'area_tecnologica': ['transformacao_digital', 'pesquisa_aplicada'], 'url_listagem': 'https://fapesc.sc.gov.br/', 'url_detalhe': 'https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-n-o-18-2026-proeventos-2027-fase-i/', 'metodo_extracao': 'html_listing_detail', 'nivel_sensibilidade': 'publico_institucional'}",,fapesc,chamada_publica,fomento
"EDITAL DE CHAMADA PÚBLICA FAPESC N.º 16/2026 PROGRAMA DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO DE APOIO AOS GRUPOS DE PESQUISA DA ASSOCIAÇÃO CATARINENSE DAS FUNDAÇÕES EDUCACIONAIS (ACAFE)",https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-n-o-016-2026-programa-de-ciencia-tecnologia-e-inovacao-de-apoio-aos-grupos-de-pesquisa-da-associacao-catarinense-das-fundacoes-educacionais-acafe/,"A FUNDAÇÃO DE AMPARO À PESQUISA E INOVAÇÃO DO ESTADO DE SANTA CATARINA (FAPESC), em colaboração com a ASSOCIAÇÃO CATARINENSE DAS FUNDAÇÕES EDUCACIONAIS (ACAFE), definida no âmbito do Acordo de Cooperação Técnica e Científica n.º 01/2026, torna público o lançamento do presente Edital de Chamada Pública para fomentar, por meio projetos de pesquisa em Ciência, Tecnologia e Inovação (CTI), de diferentes áreas do conhecimento, que contribuam para o desenvolvimento científico, tecnológico e para a inovação no Estado de Santa Catarina, e convida pesquisadores(as) representantes de grupos de pesquisa das Instituições de Ensino Superior (IES) associadas à ACAFE, a submeterem propostas. Prazo para submissão: 07/04/2026 a 22/06/2026 Contato para dúvidas: pesquisa@fapesc.sc.gov.br",FAPESC,2026-04-06,2026-06-22,Aberto,"{'anexos': [{'nome': 'Plano de Integridade e Compliance', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2023/06/Plano-de-Integridade-e-Compliance-da-Fapesc.pdf'}, {'nome': 'Código de Conduta', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2024/11/codigo_conduta_2024.pdf'}, {'nome': 'ACESSE O EDITAL COMPLETO', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/04/Edital-FAPESC-016_2026.pdf'}, {'nome': 'ERRATA', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/04/Documento-FAPESC-00001434_2026.pdf'}], 'fonte_original': 'https://fapesc.sc.gov.br/category/chamadas-abertas/', 'data_extracao': '2026-05-09', 'pais': 'Brasil', 'regiao': 'brasil', 'orgao_responsavel': 'FAPESC', 'instituicao': 'Fundação de Amparo à Pesquisa e Inovação do Estado de SC', 'orgao_contratante': 'FAPESC', 'setor_estrategico': 'ciencia_tecnologia_inovacao', 'tipo_oportunidade': 'chamada_publica', 'tipo_recurso': 'fomento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False, 'area_cientifica': ['ciencia', 'tecnologia', 'inovacao'], 'area_tecnologica': ['transformacao_digital', 'pesquisa_aplicada'], 'url_listagem': 'https://fapesc.sc.gov.br/', 'url_detalhe': 'https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-n-o-016-2026-programa-de-ciencia-tecnologia-e-inovacao-de-apoio-aos-grupos-de-pesquisa-da-associacao-catarinense-das-fundacoes-educacionais-acafe/', 'metodo_extracao': 'html_listing_detail', 'nivel_sensibilidade': 'publico_institucional'}",,fapesc,chamada_publica,fomento
EDITAL DE CHAMADA PÚBLICA FAPESC N.º 15/2026 PRÊMIO INOVAÇÃO CATARINENSE PROFESSOR CASPAR ERICH STEMMER EDIÇÃO 2026,https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-n-o-15-2026-premio-inovacao-catarinense-professor-caspar-erich-stemmer-edicao-2026/,"A FUNDAÇÃO DE AMPARO À PESQUISA E INOVAÇÃO DO ESTADO DE SANTA CATARINA (FAPESC) torna público o lançamento do presente Edital de Chamada Pública para a premiação de pesquisadores, agentes inovadores, instituições e empresas catarinenses, por meio do Prêmio Inovação Catarinense – Professor Caspar Erich Stemmer – Edição 2026, em diferentes categorias. Prazo para submissão: 31/03/2026 a 30/06/2026 Contato para dúvidas: premiostemmer@fapesc.sc.gov.br CADASTRO DE INSTITUIÇÕES/EMPRESAS NO SIGFAPESC PASSO A PASSO SUBMISSÃO DE PROPOSTAS NO SIGFAPESC",FAPESC,2026-03-30,2026-06-30,Aberto,"{'anexos': [{'nome': 'Plano de Integridade e Compliance', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2023/06/Plano-de-Integridade-e-Compliance-da-Fapesc.pdf'}, {'nome': 'Código de Conduta', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2024/11/codigo_conduta_2024.pdf'}, {'nome': 'ACESSE O EDITAL COMPLETO', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/03/Processo-FAPESC-00000751_2026_Assinado.pdf'}, {'nome': 'CADASTRO DE INSTITUIÇÕES/EMPRESAS NO SIGFAPESC', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2025/05/MANUAL_Cadastramento-de-Instituicoes-no-SIGFAPESC.pdf'}, {'nome': 'PASSO A PASSO SUBMISSÃO DE PROPOSTAS NO SIGFAPESC', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2025/05/MANUAL-Manual-de-Cadastramento-do-Pesquisadora-no-SIGFAPESC.pdf'}], 'fonte_original': 'https://fapesc.sc.gov.br/category/chamadas-abertas/', 'data_extracao': '2026-05-09', 'pais': 'Brasil', 'regiao': 'brasil', 'orgao_responsavel': 'FAPESC', 'instituicao': 'Fundação de Amparo à Pesquisa e Inovação do Estado de SC', 'orgao_contratante': 'FAPESC', 'setor_estrategico': 'ciencia_tecnologia_inovacao', 'tipo_oportunidade': 'chamada_publica', 'tipo_recurso': 'fomento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False, 'area_cientifica': ['ciencia', 'tecnologia', 'inovacao'], 'area_tecnologica': ['transformacao_digital', 'pesquisa_aplicada'], 'url_listagem': 'https://fapesc.sc.gov.br/', 'url_detalhe': 'https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-n-o-15-2026-premio-inovacao-catarinense-professor-caspar-erich-stemmer-edicao-2026/', 'metodo_extracao': 'html_listing_detail', 'nivel_sensibilidade': 'publico_institucional'}",,fapesc,chamada_publica,fomento
EDITAL DE CHAMADA PÚBLICA FAPESC N.º 14/2026 PROGRAMA MULHERES+TEC 5ª EDIÇÃO,https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-n-o-14-2026-programa-mulherestec-5a-edicao/,"A FUNDAÇÃO DE AMPARO À PESQUISA E INOVAÇÃO DO ESTADO DE SANTA CATARINA (FAPESC) torna público o lançamento do presente Edital de Chamada Pública e convida empresas catarinenses com fins lucrativos de quadro societário constituído exclusivamente por mulheres a apresentarem propostas de projetos de inovação para obtenção de apoio financeiro na forma de subvenção econômica, visando à estruturação do negócio, o suporte e o desenvolvimento de soluções. Prazo para submissão: 19/03/2026 a 21/05/2026 Contato para dúvidas: inovação@fapesc.sc.gov.br CADASTRO DE INSTITUIÇÕES/EMPRESAS NO SIGFAPESC PASSO A PASSO SUBMISSÃO DE PROPOSTAS NO SIGFAPESC",FAPESC,2026-03-18,2026-05-21,Aberto,"{'anexos': [{'nome': 'Plano de Integridade e Compliance', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2023/06/Plano-de-Integridade-e-Compliance-da-Fapesc.pdf'}, {'nome': 'Código de Conduta', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2024/11/codigo_conduta_2024.pdf'}, {'nome': 'ACESSE O EDITAL COMPLETO', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/03/Edital-no-14-2026.pdf'}, {'nome': 'CADASTRO DE INSTITUIÇÕES/EMPRESAS NO SIGFAPESC', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2025/05/MANUAL_Cadastramento-de-Instituicoes-no-SIGFAPESC.pdf'}, {'nome': 'PASSO A PASSO SUBMISSÃO DE PROPOSTAS NO SIGFAPESC', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2025/05/MANUAL-Manual-de-Cadastramento-do-Pesquisadora-no-SIGFAPESC.pdf'}, {'nome': 'RETIFICAÇÃO I', 'url': 'https://fapesc.sc.gov.br/wp-content/uploads/2026/04/Processo-FAPESC-00000688_2026.pdf'}], 'fonte_original': 'https://fapesc.sc.gov.br/category/chamadas-publicas/', 'data_extracao': '2026-05-09', 'pais': 'Brasil', 'regiao': 'brasil', 'orgao_responsavel': 'FAPESC', 'instituicao': 'Fundação de Amparo à Pesquisa e Inovação do Estado de SC', 'orgao_contratante': 'FAPESC', 'setor_estrategico': 'ciencia_tecnologia_inovacao', 'tipo_oportunidade': 'chamada_publica', 'tipo_recurso': 'fomento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False, 'area_cientifica': ['ciencia', 'tecnologia', 'inovacao'], 'area_tecnologica': ['transformacao_digital', 'pesquisa_aplicada'], 'url_listagem': 'https://fapesc.sc.gov.br/', 'url_detalhe': 'https://fapesc.sc.gov.br/edital-de-chamada-publica-fapesc-n-o-14-2026-programa-mulherestec-5a-edicao/', 'metodo_extracao': 'html_listing_detail', 'nivel_sensibilidade': 'publico_institucional'}",,fapesc,chamada_publica,fomento
