titulo,descricao,link,fonte,data_publicacao,fim_inscricao,situacao,valor,programa,acao,tipo_recurso,extras
Research funding,"Research funding Grant funding schemes and guidance | Research funding | Wellcome Skip to main content This website will not work correctly in Internet Explorer 11 and it is strongly recommended that you upgrade to an up-to-date browser. Internet Explorer 11 will go out of support and be retired on June 15, 2022. For more information on upgrading please see browser-update.org . Looking for Wellcome Collection? Close Looking for Wellcome Collection? banner Wellcome home Search Menu Close Home Research funding Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Engagement and advocacy Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Our priorities Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Insights Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters About us About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Search Back to menu Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Back to menu Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Back to menu Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Back to menu Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters Back to menu About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Close search Search Search Hide Search Cl",https://wellcome.org/grant-funding,WELLCOME,,,Em andamento,,Wellcome Trust,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://wellcome.org/grant-funding', 'coletado_em': '2026-04-15'}"
Research funding,"Research funding Grant funding schemes and guidance | Research funding | Wellcome Skip to main content This website will not work correctly in Internet Explorer 11 and it is strongly recommended that you upgrade to an up-to-date browser. Internet Explorer 11 will go out of support and be retired on June 15, 2022. For more information on upgrading please see browser-update.org . Looking for Wellcome Collection? Close Looking for Wellcome Collection? banner Wellcome home Search Menu Close Home Research funding Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Engagement and advocacy Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Our priorities Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Insights Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters About us About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Search Back to menu Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Back to menu Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Back to menu Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Back to menu Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters Back to menu About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Close search Search Search Hide Search Cl",https://wellcome.org/research-funding,WELLCOME,,,Em andamento,,Wellcome Trust,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://wellcome.org/grant-funding', 'coletado_em': '2026-04-15'}"
Find a funding opportunity,"Find a funding opportunity Research Funding Opportunities - Grant Funding | Wellcome Skip to main content This website will not work correctly in Internet Explorer 11 and it is strongly recommended that you upgrade to an up-to-date browser. Internet Explorer 11 will go out of support and be retired on June 15, 2022. For more information on upgrading please see browser-update.org . Looking for Wellcome Collection? Close Looking for Wellcome Collection? banner Wellcome home Search Menu Close Home Research funding Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Engagement and advocacy Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Our priorities Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Insights Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters About us About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Search Back to menu Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Back to menu Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Back to menu Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Back to menu Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters Back to menu About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Close search Search Search Hide Search",https://wellcome.org/research-funding/schemes,WELLCOME,,,Em andamento,,Wellcome Trust,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://wellcome.org/grant-funding', 'coletado_em': '2026-04-15'}"
Funding guidance,"Funding guidance Funding Guidance | Research Funding | Wellcome Skip to main content This website will not work correctly in Internet Explorer 11 and it is strongly recommended that you upgrade to an up-to-date browser. Internet Explorer 11 will go out of support and be retired on June 15, 2022. For more information on upgrading please see browser-update.org . Looking for Wellcome Collection? Close Looking for Wellcome Collection? banner Wellcome home Search Menu Close Home Research funding Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Engagement and advocacy Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Our priorities Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Insights Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters About us About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Search Back to menu Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Back to menu Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Back to menu Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Back to menu Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters Back to menu About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Close search Search Search Hide Search Close search and men",https://wellcome.org/research-funding/guidance,WELLCOME,,,Em andamento,,Wellcome Trust,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://wellcome.org/grant-funding', 'coletado_em': '2026-04-15'}"
Prepare to apply,"Prepare to apply Prepare to Apply | Funding Guidance | Wellcome Skip to main content This website will not work correctly in Internet Explorer 11 and it is strongly recommended that you upgrade to an up-to-date browser. Internet Explorer 11 will go out of support and be retired on June 15, 2022. For more information on upgrading please see browser-update.org . Looking for Wellcome Collection? Close Looking for Wellcome Collection? banner Wellcome home Search Menu Close Home Research funding Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Engagement and advocacy Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Our priorities Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Insights Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters About us About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Search Back to menu Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Back to menu Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Back to menu Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Back to menu Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters Back to menu About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Close search Search Search Hide Search Close search and men",https://wellcome.org/research-funding/guidance/prepare-to-apply,WELLCOME,,,Em andamento,,Wellcome Trust,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://wellcome.org/grant-funding', 'coletado_em': '2026-04-15'}"
Funding policies and grant conditions,"Funding policies and grant conditions Funding Policies and Grant Conditions | Funding Guidance | Wellcome Skip to main content This website will not work correctly in Internet Explorer 11 and it is strongly recommended that you upgrade to an up-to-date browser. Internet Explorer 11 will go out of support and be retired on June 15, 2022. For more information on upgrading please see browser-update.org . Looking for Wellcome Collection? Close Looking for Wellcome Collection? banner Wellcome home Search Menu Close Home Research funding Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Engagement and advocacy Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Our priorities Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Insights Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters About us About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Search Back to menu Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Back to menu Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Back to menu Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Back to menu Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters Back to menu About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Close search Sear",https://wellcome.org/research-funding/guidance/policies-grant-conditions,WELLCOME,,,Em andamento,,Wellcome Trust,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://wellcome.org/grant-funding', 'coletado_em': '2026-04-15'}"
Funding portfolio: funded people and projects,"Funding portfolio: funded people and projects Funding portfolio | Research funding | Wellcome Skip to main content This website will not work correctly in Internet Explorer 11 and it is strongly recommended that you upgrade to an up-to-date browser. Internet Explorer 11 will go out of support and be retired on June 15, 2022. For more information on upgrading please see browser-update.org . Looking for Wellcome Collection? Close Looking for Wellcome Collection? banner Wellcome home Search Menu Close Home Research funding Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Engagement and advocacy Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Our priorities Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Insights Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters About us About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Search Back to menu Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Back to menu Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Back to menu Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Back to menu Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters Back to menu About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Close search Search Search Hi",https://wellcome.org/research-funding/funding-portfolio,WELLCOME,,,Em andamento,,Wellcome Trust,,Subvenção (Não Reembolsável),"{'anexos': [{'nome': 'Wellcome Grants Awarded 1 October 2000 to 27 January 2026XLSX 16.5 MB', 'url': 'https://cms.wellcome.org/sites/default/files/2026-02/Wellcome-grants-awarded-1-October-2000-to-27-January-2026.xlsx'}], 'url_pagina': 'https://wellcome.org/grant-funding', 'coletado_em': '2026-04-15'}"
Funded grants,"Funded grants Funded grants | Grant Funding | Wellcome Skip to main content This website will not work correctly in Internet Explorer 11 and it is strongly recommended that you upgrade to an up-to-date browser. Internet Explorer 11 will go out of support and be retired on June 15, 2022. For more information on upgrading please see browser-update.org . Looking for Wellcome Collection? Close Looking for Wellcome Collection? banner Wellcome home Search Menu Close Home Research funding Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Engagement and advocacy Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Our priorities Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Insights Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters About us About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Search Back to menu Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Back to menu Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Back to menu Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Back to menu Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters Back to menu About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Close search Search Search Hide Search Close search and menu Funded ",https://wellcome.org/research-funding/funding-portfolio/funded-grants,WELLCOME,,,Em andamento,,Wellcome Trust,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://wellcome.org/grant-funding', 'coletado_em': '2026-04-15'}"
Major initiatives and directed funding,"Major initiatives and directed funding Major initiatives and directed funding – Research funding | Wellcome Skip to main content This website will not work correctly in Internet Explorer 11 and it is strongly recommended that you upgrade to an up-to-date browser. Internet Explorer 11 will go out of support and be retired on June 15, 2022. For more information on upgrading please see browser-update.org . Looking for Wellcome Collection? Close Looking for Wellcome Collection? banner Wellcome home Search Menu Close Home Research funding Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Engagement and advocacy Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Our priorities Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Insights Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters About us About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Search Back to menu Research funding We fund research around the world, across a broad range of disciplines, to understand life, health and wellbeing and to deliver equitable health solutions. Research funding overview Find a funding opportunity Funding guidance Prepare to apply Funding policies and grant conditions Our funding portfolio Funded grants Major initiatives Login to Wellcome Funding Back to menu Engagement and advocacy We work with communities, governments and partners across the world to advocate for evidence-based health policies that support the communities most affected. Engagement and advocacy overview Engaging people Wellcome Collection Wellcome Global Monitor Advocacy and partnerships Science Policy Labs Back to menu Our priorities We're bringing together expertise from across science, innovation and society to generate new knowledge and find equitable solutions to improve life, health and wellbeing. Our priorities overview Climate and Health Infectious Disease Mental Health Discovery Research Our strategy Equity Sustainability Back to menu Insights Read our insights to learn more about our activities and impact supporting our mission. Explore insights Articles Reports Podcast Newsletters Back to menu About us We are a charitable foundation with a vision of a healthier future for everyone. About us overview Our people Our governance Our teams Work with us Jobs Contract opportunities Our history How we are funded Media queries Contact us Close search Se",https://wellcome.org/research-funding/funding-portfolio/major-initiatives,WELLCOME,,,Em andamento,,Wellcome Trust,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://wellcome.org/grant-funding', 'coletado_em': '2026-04-15'}"
Login to Wellcome Funding,Login to Wellcome Funding ,https://funding.wellcome.org,WELLCOME,,,Em andamento,,Wellcome Trust,,Não Especificado,"{'anexos': [], 'url_pagina': 'https://wellcome.org/grant-funding', 'coletado_em': '2026-04-15'}"
